condition,well,field,n_droplets,mean_area_um2,median_area_um2,total_area_um2,mean_diameter_um,median_diameter_um,mean_circularity
NTC,R05C03,4,1237,793.843876514147,370.477744,981984.8752479999,26.44297219753418,21.718814749084952,0.6578533124509965
NTC,R05C03,5,1078,977.9401232207791,347.59108799999996,1054219.4528319999,26.834022324011574,21.037269752492122,0.663709013077528
NTC,R05C03,6,1238,726.5438734862681,306.109024,899461.3153759999,24.27763875248911,19.74208991867591,0.6854042969503745
NTC,R05C03,7,1008,849.3123381269841,320.413184,856106.836832,25.656402953949048,20.198087447164493,0.6724436718243877
NTC,R05C03,8,1101,663.4596805667575,346.160672,730469.108304,24.65631271038246,20.993938563844996,0.6635267710437762
NTC,R05C03,9,1027,988.9439382278481,369.047328,1015645.42456,27.482729058408275,21.676845985715914,0.6587966667205024
NTC,R06C03,1,665,803.3452866165413,334.71734399999997,534224.6156,25.746549278135987,20.644015081604714,0.6835278561532324
NTC,R06C03,2,1001,827.207715116883,314.69151999999997,828034.922832,25.28729672795069,20.01693502154654,0.688356232988682
NTC,R06C03,3,1187,795.1257154911541,313.261104,943814.2242879999,25.16914896556357,19.971390172949768,0.68135429186364
NTC,R06C03,4,1290,721.0693790511627,340.439008,930179.4989759999,25.062058166650836,20.819711995030346,0.6718674832137614
NTC,R06C03,5,1150,889.14285408,341.154216,1022514.282192,26.13512229429781,20.841558516431157,0.664659449260699
NTC,R06C03,6,1100,767.4064805963635,306.82423199999994,844147.1286559999,24.92999500285888,19.765126227622883,0.6886418294128244
NTC,R06C03,7,911,986.2349332338089,321.8436,898460.0241759999,26.371860198867722,20.243122257693493,0.6752488810042632
NTC,R06C03,8,1118,828.9900440930232,320.413184,926810.869296,25.863865579273664,20.198087447164493,0.6799242736121887
NTC,R06C03,9,1109,943.2194059801623,381.921072,1046030.3212319999,27.4293730368969,22.051689546110637,0.6597624880592127
NTC,R07C03,1,1212,787.6056969372937,313.261104,954578.1046879999,25.44567171796912,19.971390172949768,0.6849546091998856
NTC,R07C03,2,952,992.8063689579832,301.817776,945151.663248,26.007946623874638,19.60322238070107,0.6981700070817143
NTC,R07C03,3,828,883.8519733333333,304.67860799999994,731829.43392,25.136366857842237,19.69585526188122,0.689896404054604
NTC,R07C03,4,1189,803.5461130899915,324.704432,955416.3284639999,25.17004681723388,20.332892641559134,0.6912631332338988
NTC,R07C03,5,1032,841.7776390077519,356.88879199999997,868714.5234559999,26.51710545647027,21.316764923850286,0.6553872424357331
NTC,R07C03,6,978,918.7994895541922,314.69151999999997,898585.9007839999,25.428548010327447,20.01693502154654,0.6835356214797754
NTC,R07C03,7,1067,1005.8398424442362,339.00859199999996,1073231.111888,27.125666973653342,20.77592706329584,0.6646917727481937
NTC,R07C03,8,819,1078.825336126984,341.869424,883557.9502879999,27.245045828548125,20.863405037831964,0.6630027451976253
NTC,R07C03,9,569,1234.8210669947275,406.238144,702613.1871199999,29.030178063847927,22.742877336006046,0.6387360432739624
